Name,Price,Week,Month,Year,Season
Ash_Plantain_LCVEG_1kg,135.15,1,1,2017,North-East Monsoon Season
Ash_Pumpkin_LCVEG_1kg,111.11,1,1,2017,North-East Monsoon Season
Bandakka_LCVEG_1kg,112.86,1,1,2017,North-East Monsoon Season
Brinjal_LCVEG_1kg,99.39,1,1,2017,North-East Monsoon Season
Bitter_Guard_LCVEG_1kg,228.57,1,1,2017,North-East Monsoon Season
Cucumber_LCVEG_1kg,115.69,1,1,2017,North-East Monsoon Season
Red_Pumpkin_LCVEG_1kg,108.48,1,1,2017,North-East Monsoon Season
Snake_Gourd_LCVEG_1kg,128.33,1,1,2017,North-East Monsoon Season
Gotukola_LEAVES_Bunch,30.0,1,1,2017,North-East Monsoon Season
Kankun_LEAVES_Bunch,33.93,1,1,2017,North-East Monsoon Season
Kathurumurunga_LEAVES_Bunch,35.42,1,1,2017,North-East Monsoon Season
Kohila_Leaves_LEAVES_Bunch,35.71,1,1,2017,North-East Monsoon Season
Kohila_Yams_LCVEG_1kg,137.81,1,1,2017,North-East Monsoon Season
Vetakolu_LCVEG_1kg,170.67,1,1,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,276.39,1,1,2017,North-East Monsoon Season
Cap_Chillies_LCVEG_1kg,252.5,1,1,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,129.14,1,1,2017,North-East Monsoon Season
Limes_LCVEG_1kg,605.88,1,1,2017,North-East Monsoon Season
Betel_Leaves_Average_B_LEAVES_100leaves,172.92,1,1,2017,North-East Monsoon Season
Betel_Leaves_Medium_B_LEAVES_100leaves,208.33,1,1,2017,North-East Monsoon Season
Betel_Leaves_Small_B_LEAVES_100leaves,137.5,1,1,2017,North-East Monsoon Season
Arecanuts_Average_ARECANUTS_100Nuts,400.91,1,1,2017,North-East Monsoon Season
Arecanuts_Medium_ARECANUTS_100Nuts,481.82,1,1,2017,North-East Monsoon Season
Arecanuts_Small_ARECANUTS_100Nuts,320.0,1,1,2017,North-East Monsoon Season
Potatoes_Local_POTATOES_1Kg,167.05,1,1,2017,North-East Monsoon Season
CoconutOil_OILANDFATS_750ml,248.89,1,1,2017,North-East Monsoon Season
Mukunuwenna_LEAVES_Bunch,35.0,1,1,2017,North-East Monsoon Season
Nivithi_LEAVES_500g,47.33,1,1,2017,North-East Monsoon Season
Sarana_LEAVES_Bunch,36.67,1,1,2017,North-East Monsoon Season
Thampala_LEAVES_Bunch,36.92,1,1,2017,North-East Monsoon Season
Beans_Butter_UPCVEG_1kg,200.0,1,1,2017,North-East Monsoon Season
Beans_Green_UPCVEG_1kg,136.13,1,1,2017,North-East Monsoon Season
LongBeans_LCVEG_1kg,150.18,1,1,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,129.7,1,1,2017,North-East Monsoon Season
CabbaggeSeed_UPCVEG_1kg,94.38,1,1,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,139.71,1,1,2017,North-East Monsoon Season
Drumstick_LCVEG_1kg,,1,1,2017,North-East Monsoon Season
KnolKhol_UPCVEG_1kg,147.62,1,1,2017,North-East Monsoon Season
